Date,Materials,Health Care,Consumer Discretionary,Industrials,Information Technology,Real Estate,Financials,Energy,Communication Services,Consumer Staples,Utilities,Total Market Cap
2024-06-07,131070656715.96002,137522161804.93,63754262262.91999,133357930169.20999,63966532534.96001,25580050450.280003,108161319560.16801,28633915736.0,159211841472.0,58192165919.14001,35199781170.45,2849500303046.0596
2024-06-10,131559293179.32999,137848353126.62003,64165573339.72,134372617300.545,63684067227.45,25614874185.079998,106569229673.2856,29114728249.760002,158517306880.0,56791711508.80999,35018205296.23,2845324961346.7324
2024-06-11,131391960503.46999,137994602008.91998,63925926024.0,133695410128.79999,64159062034.41,25677701480.68,104934971564.90799,29102459027.88,156597123008.0,56802335830.22,35095175093.42,2830713654286.144
2024-06-12,132093602286.86998,138668331008.09,65097771750.39198,135048576134.12001,65399649790.33,25939159305.52,106864439292.39803,28922276123.64,154472664256.0,55721814121.020004,34879154841.060005,2850000375557.3037
2024-06-13,131677614245.30002,138307185829.93,64829491321.08,134145249531.405,64960706086.19001,26081625587.16,105805784179.32,28582436081.88,153471717344.0,55139838415.8,34808602323.92,2825080911497.502
2024-06-14,127897487051.46997,137227418224.13002,64056437876.112015,129685730950.80997,64802505253.98999,26032511524.68,104928294863.7,27893152311.8,152920175168.0,55221000963.49,34850706253.02,2781198777438.923
