Sector,Sector Weight
Communication Services,5.587360047016161
Consumer Discretionary,2.2373839439416074
Consumer Staples,2.0421884446523384
Energy,1.004874984761044
Financials,3.795799545785121
Health Care,4.826185196678923
Industrials,4.680046183067711
Information Technology,2.244833329779998
Materials,4.599776900386641
Real Estate,0.8977030261388438
Utilities,1.2352966284236615
