Date,Index Value
2023-11-10,100.0
2023-11-13,99.75581534868992
2023-11-14,102.26979329203444
2023-11-15,102.99094849445098
2023-11-16,102.82442106717662
2023-11-17,103.12919660311431
2023-11-20,103.67516085012122
2023-11-21,103.32320918254158
2023-11-22,103.43061404858612
2023-11-24,103.84890678448109
2023-11-27,103.33947930718305
2023-11-28,102.97788616615576
2023-11-29,103.2050297384992
2023-11-30,103.98285529980079
2023-12-01,105.71993697375967
2023-12-04,106.24835003165087
2023-12-05,104.34285999413889
2023-12-06,104.41066047267141
2023-12-07,104.88389950925222
2023-12-08,105.14397873925932
2023-12-11,105.957298848639
