Sector,Market Weight
Industrials,18.309090511478175
Health Care,15.045815651297406
Financials,12.695087864875893
Materials,11.138187052741756
Communication Services,10.634130242847414
Consumer Discretionary,8.587761495033815
Consumer Staples,6.932551360587897
Information Technology,5.5838415781062345
Utilities,4.46377476690685
Energy,4.069591828509978
Real Estate,2.540167647614577
