Date,Index Value
2025-09-12,120.83889999999998
2025-09-15,120.27369119666528
2025-09-16,119.6837857766501
2025-09-17,119.63450255580794
2025-09-18,120.64622153462908
2025-09-19,120.10667578565584
2025-09-22,120.34628949124503
2025-09-23,120.16970467195631
2025-09-24,119.88531696766317
2025-09-25,118.76225794695432
2025-09-26,120.16074906488998
2025-09-29,119.93050867128977
2025-09-30,120.4924034386488
2025-10-01,120.38151358296513
2025-10-02,120.06410821939527
2025-10-03,120.63870440237672
2025-10-06,120.52746691048496
2025-10-07,119.58959386578019
2025-10-08,119.97972548317577
2025-10-09,118.72046908577359
2025-10-10,116.12111953987413
2025-10-13,117.61204070131214
